Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2015,08,10,18.8,1,N
IDCJAC0010,009225,2015,08,11,18.3,1,N
IDCJAC0010,009225,2015,08,12,17.2,1,N
IDCJAC0010,009225,2015,08,13,17.1,1,N
IDCJAC0010,009225,2015,08,14,23.1,1,N
IDCJAC0010,009225,2015,08,15,27.0,1,N
IDCJAC0010,009225,2015,08,16,23.3,1,N
IDCJAC0010,009225,2015,08,17,20.6,1,N
IDCJAC0010,009225,2015,08,18,20.1,1,N
IDCJAC0010,009225,2015,08,19,20.2,1,N
IDCJAC0010,009225,2015,08,20,18.4,1,N
IDCJAC0010,009225,2015,08,21,16.2,1,N
IDCJAC0010,009225,2015,08,22,17.3,1,N
IDCJAC0010,009225,2015,08,23,18.8,1,N
IDCJAC0010,009225,2015,08,24,19.0,1,N
IDCJAC0010,009225,2015,08,25,19.5,1,N
IDCJAC0010,009225,2015,08,26,21.3,1,N
IDCJAC0010,009225,2015,08,27,25.1,1,N
IDCJAC0010,009225,2015,08,28,21.6,1,N
IDCJAC0010,009225,2015,08,29,21.3,1,N
IDCJAC0010,009225,2015,08,30,18.7,1,N
IDCJAC0010,009225,2015,08,31,17.6,1,N
IDCJAC0010,009225,2015,09,01,15.5,1,Y
IDCJAC0010,009225,2015,09,02,17.1,1,Y
IDCJAC0010,009225,2015,09,03,20.6,1,Y
IDCJAC0010,009225,2015,09,04,20.3,1,Y
IDCJAC0010,009225,2015,09,05,19.2,1,Y
IDCJAC0010,009225,2015,09,06,19.0,1,Y
IDCJAC0010,009225,2015,09,07,23.9,1,Y
IDCJAC0010,009225,2015,09,08,27.0,1,Y
IDCJAC0010,009225,2015,09,09,32.1,1,Y
IDCJAC0010,009225,2015,09,10,21.7,1,Y
IDCJAC0010,009225,2015,09,11,21.2,1,Y
IDCJAC0010,009225,2015,09,12,17.3,1,Y
IDCJAC0010,009225,2015,09,13,18.3,1,Y
IDCJAC0010,009225,2015,09,14,18.6,1,Y
IDCJAC0010,009225,2015,09,15,17.8,1,Y
IDCJAC0010,009225,2015,09,16,20.2,1,Y
IDCJAC0010,009225,2015,09,17,26.0,1,Y
IDCJAC0010,009225,2015,09,18,23.8,1,Y
IDCJAC0010,009225,2015,09,19,19.1,1,Y
IDCJAC0010,009225,2015,09,20,20.3,1,Y
IDCJAC0010,009225,2015,09,21,23.1,1,Y
IDCJAC0010,009225,2015,09,22,25.8,1,Y
IDCJAC0010,009225,2015,09,23,30.2,1,Y
IDCJAC0010,009225,2015,09,24,31.5,1,Y
IDCJAC0010,009225,2015,09,25,22.6,1,Y
IDCJAC0010,009225,2015,09,26,23.2,1,Y
IDCJAC0010,009225,2015,09,27,26.1,1,Y
IDCJAC0010,009225,2015,09,28,27.6,1,Y
IDCJAC0010,009225,2015,09,29,22.3,1,Y
IDCJAC0010,009225,2015,09,30,24.1,1,Y
IDCJAC0010,009225,2015,10,01,32.4,1,N
IDCJAC0010,009225,2015,10,02,27.5,1,N
IDCJAC0010,009225,2015,10,03,24.8,1,N
IDCJAC0010,009225,2015,10,04,23.7,1,N
IDCJAC0010,009225,2015,10,05,21.0,1,N
IDCJAC0010,009225,2015,10,06,21.8,1,N
IDCJAC0010,009225,2015,10,07,27.9,1,N
IDCJAC0010,009225,2015,10,08,29.2,1,N
IDCJAC0010,009225,2015,10,09,33.2,1,N
IDCJAC0010,009225,2015,10,10,32.4,1,N
IDCJAC0010,009225,2015,10,11,33.2,1,N
IDCJAC0010,009225,2015,10,12,33.4,1,N
IDCJAC0010,009225,2015,10,13,31.8,1,N
IDCJAC0010,009225,2015,10,14,22.1,1,N
IDCJAC0010,009225,2015,10,15,20.6,1,N
IDCJAC0010,009225,2015,10,16,22.5,1,N
IDCJAC0010,009225,2015,10,17,30.3,1,N
IDCJAC0010,009225,2015,10,18,23.6,1,N
IDCJAC0010,009225,2015,10,19,22.1,1,N
IDCJAC0010,009225,2015,10,20,27.4,1,N
IDCJAC0010,009225,2015,10,21,31.7,1,N
IDCJAC0010,009225,2015,10,22,23.6,1,N
IDCJAC0010,009225,2015,10,23,23.1,1,N
IDCJAC0010,009225,2015,10,24,23.8,1,N
IDCJAC0010,009225,2015,10,25,25.1,1,N
IDCJAC0010,009225,2015,10,26,28.7,1,N
IDCJAC0010,009225,2015,10,27,26.9,1,N
IDCJAC0010,009225,2015,10,28,27.6,1,N
IDCJAC0010,009225,2015,10,29,26.1,1,N
IDCJAC0010,009225,2015,10,30,27.7,1,N
IDCJAC0010,009225,2015,10,31,25.1,1,N
IDCJAC0010,009225,2015,11,01,26.3,1,N
IDCJAC0010,009225,2015,11,02,23.1,1,N
IDCJAC0010,009225,2015,11,03,26.0,1,N
IDCJAC0010,009225,2015,11,04,25.3,1,N
IDCJAC0010,009225,2015,11,05,24.1,1,N
IDCJAC0010,009225,2015,11,06,24.7,1,N
IDCJAC0010,009225,2015,11,07,22.9,1,N
IDCJAC0010,009225,2015,11,08,25.8,1,N
IDCJAC0010,009225,2015,11,09,30.9,1,N
IDCJAC0010,009225,2015,11,10,32.2,1,N
IDCJAC0010,009225,2015,11,11,29.4,1,N
IDCJAC0010,009225,2015,11,12,33.5,1,N
IDCJAC0010,009225,2015,11,13,36.0,1,N
