Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,009225,2015,09,24,13.1,1,Y
IDCJAC0011,009225,2015,09,25,14.1,1,Y
IDCJAC0011,009225,2015,09,26,10.2,1,Y
IDCJAC0011,009225,2015,09,27,14.0,1,Y
IDCJAC0011,009225,2015,09,28,12.6,1,Y
IDCJAC0011,009225,2015,09,29,12.3,1,Y
IDCJAC0011,009225,2015,09,30,11.4,1,Y
IDCJAC0011,009225,2015,10,01,11.9,1,N
IDCJAC0011,009225,2015,10,02,12.0,1,N
IDCJAC0011,009225,2015,10,03,14.3,1,N
IDCJAC0011,009225,2015,10,04,15.5,1,N
IDCJAC0011,009225,2015,10,05,15.9,1,N
IDCJAC0011,009225,2015,10,06,5.9,1,N
IDCJAC0011,009225,2015,10,07,10.8,1,N
IDCJAC0011,009225,2015,10,08,9.6,1,N
IDCJAC0011,009225,2015,10,09,13.0,1,N
IDCJAC0011,009225,2015,10,10,14.4,1,N
IDCJAC0011,009225,2015,10,11,16.5,1,N
IDCJAC0011,009225,2015,10,12,17.0,1,N
IDCJAC0011,009225,2015,10,13,15.1,1,N
IDCJAC0011,009225,2015,10,14,15.5,1,N
IDCJAC0011,009225,2015,10,15,12.9,1,N
IDCJAC0011,009225,2015,10,16,6.8,1,N
IDCJAC0011,009225,2015,10,17,9.3,1,N
IDCJAC0011,009225,2015,10,18,13.0,1,N
IDCJAC0011,009225,2015,10,19,11.5,1,N
IDCJAC0011,009225,2015,10,20,9.7,1,N
IDCJAC0011,009225,2015,10,21,12.1,1,N
IDCJAC0011,009225,2015,10,22,14.1,1,N
IDCJAC0011,009225,2015,10,23,16.7,1,N
IDCJAC0011,009225,2015,10,24,15.1,1,N
IDCJAC0011,009225,2015,10,25,15.1,1,N
IDCJAC0011,009225,2015,10,26,14.2,1,N
IDCJAC0011,009225,2015,10,27,15.4,1,N
IDCJAC0011,009225,2015,10,28,17.2,1,N
IDCJAC0011,009225,2015,10,29,15.8,1,N
IDCJAC0011,009225,2015,10,30,17.6,1,N
IDCJAC0011,009225,2015,10,31,16.8,1,N
IDCJAC0011,009225,2015,11,01,12.6,1,N
IDCJAC0011,009225,2015,11,02,14.6,1,N
IDCJAC0011,009225,2015,11,03,13.5,1,N
IDCJAC0011,009225,2015,11,04,14.6,1,N
IDCJAC0011,009225,2015,11,05,11.8,1,N
IDCJAC0011,009225,2015,11,06,17.0,1,N
IDCJAC0011,009225,2015,11,07,17.3,1,N
IDCJAC0011,009225,2015,11,08,14.1,1,N
IDCJAC0011,009225,2015,11,09,15.5,1,N
IDCJAC0011,009225,2015,11,10,17.3,1,N
IDCJAC0011,009225,2015,11,11,15.4,1,N
IDCJAC0011,009225,2015,11,12,16.0,1,N
IDCJAC0011,009225,2015,11,13,20.5,1,N
IDCJAC0011,009225,2015,11,14,22.2,1,N
